productId,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10
CJ1646-600,CT4328-101,CQ0492-001,AO2132-401,315115-112,315123-111,366731-100,AA0287-002,CJ1379-001,CD0888-002,CI3446-001
CT4328-101,CQ0492-001,CJ1379-001,315123-111,366731-100,AA0287-002,315115-112,CD0887-201,CD0888-002,CJ1646-600,CI3446-001
CI3482-200,AR5339-002,CJ1642-002,CQ0492-001,CD4366-002,CT1020-001,AV4417-002,CQ6566-700,BQ3611-100,CT2584-100,CK4126-001
CD0479-200,CI3898-200,CJ0636-100,BQ9665-301,AQ4312-107,CI1214-004,AR7410-603,CD6615-100,CQ2503-900,AH6789-023,CI3709-001
CZ6156-101,CI9842-500,CK7200-800,AQ0927-100,CI3868-001,AO2924-401,CI3870-100,AR9293-603,AH6789-023,CI3709-001,CD0132-001
CJ6314-146,CJ0861-017,CJ0861-010,CD8526-446,AQ8306-407,AQ7489-008,AO2982-076,AQ1189-009,AQ1189-009,BQ6044-100,BQ6046-010
CI0808-100,844896-002,BQ9138-601,918194-003,F34751,EE7899,CQ7619-700,CQ7620-001,B43743,DB1347,F34375
CJ0861-017,CJ0861-010,CD8526-446,CJ6314-146,AQ8306-407,CD3395-006,CD3395-006,CN5455-160,CD3398-063,CJ0818-146,CN5455-160
AT8242-009,AT2863-100,BV7766-100,CN6928-300,CN7383-300,BV1134-001,BV7757-500,AJ4115-060,AR4347-600,BQ1896-002,CJ9712-001
CK2595-500,CD0113-400,CT5064-001,CT5528-001,CT2535-001,AO4971-700,AT6174-004,CT1264-101,CQ6549-001,CI3866-100,CK2608-100
CD0490-104,CD0490-101,CD0881-104,CN8490-100,CQ6639-001,CT2007-100,CT4352-104,CU0675-300,AJ7695-100,AJ1285-101,AQ0927-100
315115-112,315122-001,CD0887-201,AO2132-401,CT4328-101,315123-111,366731-100,CK4363-100,CD0888-002,AA0287-002,CQ0492-001
AV5186-101,CD6105-007,CT5062-100,CI3867-001,AT6175-100,AT3378-471,CI3709-001,AQ2568-100,AV4052-116,CK5668-600,CI3868-001
CJ0860-668,CJ0773-010,BQ7043-668,CD3460-010,CD8526-446,BQ6044-100,BQ6046-010,BQ6044-100,CD6404-800,CN5501-046,CN5501-046
AJ6910-009,AJ6900-102,AT5673-700,CK9670-100,AO1023-005,CK2718-003,CK2719-400,CT5063-100,BV1712-001,CI1246-302,AR6631-004
