productId,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10
CJ1646-600,CT4328-101,CQ0492-001,AA0287-002,AO2132-401,315115-112,315123-111,366731-100,CI3446-001,CJ1379-001,BQ4424-700
CT4328-101,CQ0492-001,315123-111,CJ1379-001,366731-100,AA0287-002,315115-112,CJ1646-600,CD0887-201,CI3446-001,CD0888-002
CI3482-200,AR5339-002,CJ1642-002,CQ0492-001,BV1712-001,AV4417-002,CT1020-001,CJ0625-700,BQ3611-100,CK4126-001,CD4366-002
CD0479-200,CI3898-200,CJ0636-100,AQ4312-107,BQ9665-301,CI1214-004,AR7410-603,CQ2503-900,CD6615-100,CD0132-001,CI3709-001
CZ6156-101,CI9842-500,CK7200-800,CQ6639-001,AQ0927-100,CN8490-100,AH6789-023,CD0132-001,CD6615-100,CI3709-001,CI3868-001
CJ6314-146,CJ0861-017,CJ0861-010,CD8526-446,AQ8306-407,AQ7489-008,AO2982-076,AQ1189-009,CJ0818-146,BQ6044-100,BQ6046-010
CI0808-100,918194-003,844896-002,AA8022-107,AA8018-101,749747-010,918193-700,CT3890-101,AO7353-105,BQ9138-601,AA8027-109
CJ0861-017,CJ0861-010,CD8526-446,CJ6314-146,AQ8306-407,AO2982-076,AQ1189-009,CJ0818-146,BQ6044-100,BQ6046-010,CD3395-006
AT8242-009,AT2863-100,BV7766-100,CN6928-300,CN7383-300,BV7757-500,BV1134-001,AJ4115-060,AR4347-600,BQ1896-002,CJ9712-001
CK2595-500,CD0113-400,CT5064-001,CK2608-100,CT2535-001,CT5528-001,CJ0579-400,AO4971-700,AT6174-004,CI3899-200,CI3866-100
CD0490-104,CD0490-101,CD0881-104,CQ6639-001,CN8490-100,CT4352-104,AJ7695-100,CU0675-300,AJ1285-101,325213-139,CT2007-100
315115-112,315122-001,CD0887-201,AO2132-401,CT4328-101,315123-111,366731-100,CQ0492-001,AA0287-002,CJ1646-600,CJ1379-001
AV5186-101,CD6105-007,AV4052-116,CT5062-100,CI3867-001,CI7815-602,AT6175-100,AQ2568-100,CK5668-600,310805-137,CQ0278-200
CJ0860-668,CJ0773-010,BQ7043-668,CD3460-010,AQ7491-008,AT1369-103,CK6357-005,CK6360-001,BQ6044-100,BQ6046-010,CJ0861-017
AJ6910-009,AJ6900-102,AT5673-700,CK9670-100,CK2718-003,CK2719-400,CT5063-100,CI1246-302,BV1712-001,AO1023-005,AR6632-603
BQ7043-668,CD3460-010,CJ0860-668,CJ0773-010,AQ8228-102,AA1640-002,AH7858-010,AQ2222-200,AA1636-406,AA8027-109,AQ7497-300
CK2608-100,CJ0579-400,CK2595-500,CD0113-400,CJ0619-100,CI3899-200,CT5064-001,CT2535-001,BV3387-400,CT5528-001,AH6789-023
921733-104,CI7388-600,921826-016,CI1504-100,CI3708-700,AQ4126-100,CT1549-001,CI3709-001,CJ0625-700,CD0132-001,AH6789-023
CJ1379-001,CT4328-101,CQ0492-001,315123-111,366731-100,AA0287-002,CI3446-001,315115-112,CD0887-201,CJ1646-600,CD0888-002
CT1726-100,F36476,F36475,EE8115,EE8114,EE9833,EE9835,EE9840,EE9671,EE9663,EE9665
CT4525-001,CI3708-700,AQ4126-100,CT4526-100,921733-104,AQ0927-100,CT1549-001,921826-016,CI7388-600,CJ0625-700,BQ5615-002
923112-001,CD5036-100,705265-006,BQ6826-003,CT3110-400,CJ0882-001,864348-019,CK0980-002,CT3632-001,AQ7477-009,704939-103
BQ3381-600,CD6105-007,BQ3448-400,310805-137,AV4126-002,554724-066,554724-050,CT5342-007,133000-106,AR5149-005,CD3002-103
AO2982-076,AQ1189-009,CJ0818-146,CD3395-006,CN5455-160,CD3398-063,BQ6044-100,BQ6046-010,CJ0861-017,CJ0861-010,CD8526-446
CJ0277-002,CJ0280-001,BV0417-401,CI1291-400,CI1290-100,BV0415-300,CK0089-100,CI1718-001,BQ8928-011,BQ8927-102,CD4371-001
AQ2730-009,CI3707-100,AQ2731-500,CI3706-100,CD4363-103,CD4365-003,CT3867-001,CD4371-001,CD4372-004,CJ0280-001,BQ8928-011
CT1030-100,CT4352-104,CQ6639-001,CN8490-100,CD0132-001,CD0490-104,CD0490-101,CD0881-104,CU0675-300,AQ0927-100,CI3709-001
CK9671-001,CK2718-003,CK2719-400,CK9670-100,CT5063-100,CI1246-302,BV1712-001,AJ6910-009,AT5673-700,AR6632-603,AR6631-004
BQ4632-602,CT0624-100,631261-035,343880-090,343881-412,AR6374-402,CD4363-103,CQ0492-001,CD2803-001,832528-001,CJ1379-001
CJ0280-001,CJ0277-002,BV0417-401,BV0415-300,CI1291-400,CI1290-100,CK0089-100,CI1718-001,CD4371-001,CD4372-004,BQ8928-011
